company_location,count,mean,median,share_pct
US,133143,161381.0,150400.0,90.36
CA,6090,129921.0,120000.0,4.13
GB,3850,93099.0,75949.0,2.61
AU,569,127290.0,117718.0,0.39
NL,447,79967.0,73333.0,0.3
DE,406,108940.0,89473.0,0.28
FR,353,76823.0,63157.0,0.24
LT,317,64082.0,59115.0,0.22
AT,276,59338.0,56739.0,0.19
ES,226,74752.0,63157.0,0.15
PL,149,80456.0,77887.0,0.1
IE,148,114508.0,100000.0,0.1
IN,109,94456.0,67145.0,0.07
SK,85,53959.0,50526.0,0.06
BR,83,76464.0,72000.0,0.06
NZ,72,123374.0,122552.0,0.05
FI,72,75443.0,62631.0,0.05
AR,70,90370.0,78600.0,0.05
LV,67,59795.0,56084.0,0.05
MX,64,96659.0,85850.0,0.04
ZA,61,71620.0,58106.0,0.04
IT,57,96534.0,82105.0,0.04
PT,54,69370.0,67544.0,0.04
CH,51,137761.0,125000.0,0.03
EG,41,136046.0,110100.0,0.03
SG,39,123169.0,116417.0,0.03
CO,32,76976.0,72000.0,0.02
BE,31,121480.0,108400.0,0.02
JP,27,95048.0,79893.0,0.02
EE,24,65700.0,68421.0,0.02
GR,20,71124.0,70106.0,0.01
UA,18,113043.0,109000.0,0.01
CZ,16,52663.0,46736.0,0.01
MT,16,79219.0,79400.0,0.01
TR,16,93797.0,98400.0,0.01
IL,15,127126.0,115000.0,0.01
PH,15,62231.0,50000.0,0.01
SE,13,100310.0,86374.0,0.01
CL,12,92994.0,80694.0,0.01
LB,12,128833.0,122500.0,0.01
KR,12,88478.0,91464.0,0.01
PR,12,117367.0,117000.0,0.01
CY,12,57670.0,55146.0,0.01
NO,12,86106.0,95212.0,0.01
PE,9,59267.0,48000.0,0.01
RO,8,79554.0,54992.0,0.01
SI,7,53982.0,48585.0,0.0
MK,6,73667.0,75000.0,0.0
JO,6,101851.0,123552.0,0.0
DK,6,93395.0,100000.0,0.0
BG,5,113000.0,111111.0,0.0
AM,5,70440.0,66000.0,0.0
RS,5,77874.0,54000.0,0.0
ID,5,76513.0,63774.0,0.0
HK,5,136853.0,136871.0,0.0
KE,5,61800.0,55300.0,0.0
LU,4,74810.0,64093.0,0.0
VN,4,63000.0,60000.0,0.0
AE,4,93750.0,95000.0,0.0
CR,4,48000.0,48000.0,0.0
NG,3,96667.0,50000.0,0.0
MY,3,59487.0,69231.0,0.0
TW,3,73276.0,78835.0,0.0
SA,3,139999.0,150000.0,0.0
RU,2,81500.0,81500.0,0.0
VE,2,192500.0,192500.0,0.0
CF,2,49216.0,49216.0,0.0
AS,2,55000.0,55000.0,0.0
CD,2,275000.0,275000.0,0.0
JM,2,52531.0,52531.0,0.0
HN,2,79000.0,79000.0,0.0
HR,2,92280.0,92280.0,0.0
LS,2,75658.0,75658.0,0.0
PA,2,89976.0,89976.0,0.0
ML,2,59000.0,59000.0,0.0
DZ,1,100000.0,100000.0,0.0
BA,1,120000.0,120000.0,0.0
AD,1,50745.0,50745.0,0.0
HU,1,43000.0,43000.0,0.0
GI,1,79976.0,79976.0,0.0
EC,1,48000.0,48000.0,0.0
OM,1,46848.0,46848.0,0.0
PK,1,40000.0,40000.0,0.0
QA,1,300000.0,300000.0,0.0
SV,1,48000.0,48000.0,0.0
XK,1,50526.0,50526.0,0.0
ZM,1,60000.0,60000.0,0.0
